Category,Size,File,Algorithm,Time(us),Comparisons,Swaps
random,1000,data_0.txt,InsertionSort,765,251638,250642
random,1000,data_0.txt,QuickSort,91,10634,6495
random,1000,data_0.txt,MergeSort,237,8738,8738
random,1000,data_1.txt,InsertionSort,795,252631,251636
random,1000,data_1.txt,QuickSort,85,10211,6390
random,1000,data_1.txt,MergeSort,225,8744,8744
random,1000,data_10.txt,InsertionSort,1094,252082,251088
random,1000,data_10.txt,QuickSort,100,10399,5537
random,1000,data_10.txt,MergeSort,255,8689,8689
random,1000,data_100.txt,InsertionSort,833,258314,257318
random,1000,data_100.txt,QuickSort,91,10728,5741
random,1000,data_100.txt,MergeSort,271,8689,8689
random,1000,data_101.txt,InsertionSort,767,253931,252935
random,1000,data_101.txt,QuickSort,80,10979,5675
random,1000,data_101.txt,MergeSort,232,8714,8714
random,1000,data_102.txt,InsertionSort,980,249376,248381
random,1000,data_102.txt,QuickSort,116,11700,6780
random,1000,data_102.txt,MergeSort,273,8704,8704
random,1000,data_103.txt,InsertionSort,811,251292,250301
random,1000,data_103.txt,QuickSort,99,11417,7119
random,1000,data_103.txt,MergeSort,248,8697,8697
random,1000,data_104.txt,InsertionSort,901,250369,249378
random,1000,data_104.txt,QuickSort,90,11275,5935
random,1000,data_104.txt,MergeSort,394,8712,8712
random,1000,data_105.txt,InsertionSort,753,249096,248109
random,1000,data_105.txt,QuickSort,83,10912,5728
random,1000,data_105.txt,MergeSort,245,8682,8682
random,1000,data_106.txt,InsertionSort,857,253852,252860
random,1000,data_106.txt,QuickSort,124,10449,6055
random,1000,data_106.txt,MergeSort,265,8733,8733
random,1000,data_107.txt,InsertionSort,996,251890,250899
random,1000,data_107.txt,QuickSort,99,9929,5557
random,1000,data_107.txt,MergeSort,267,8700,8700
random,1000,data_108.txt,InsertionSort,810,249913,248919
random,1000,data_108.txt,QuickSort,93,11370,5695
random,1000,data_108.txt,MergeSort,262,8726,8726
random,1000,data_109.txt,InsertionSort,862,258392,257399
random,1000,data_109.txt,QuickSort,109,11332,6536
random,1000,data_109.txt,MergeSort,353,8704,8704
random,1000,data_11.txt,InsertionSort,888,259145,258149
random,1000,data_11.txt,QuickSort,128,10721,6622
random,1000,data_11.txt,MergeSort,428,8711,8711
random,1000,data_110.txt,InsertionSort,1141,260903,259907
random,1000,data_110.txt,QuickSort,123,10928,6393
random,1000,data_110.txt,MergeSort,368,8697,8697
random,1000,data_111.txt,InsertionSort,990,255484,254491
random,1000,data_111.txt,QuickSort,123,10221,6099
random,1000,data_111.txt,MergeSort,298,8716,8716
random,1000,data_112.txt,InsertionSort,1148,251420,250424
random,1000,data_112.txt,QuickSort,142,11301,6063
random,1000,data_112.txt,MergeSort,459,8671,8671
random,1000,data_113.txt,InsertionSort,1203,254770,253779
random,1000,data_113.txt,QuickSort,114,11764,6561
random,1000,data_113.txt,MergeSort,292,8679,8679
random,1000,data_114.txt,InsertionSort,1076,254653,253664
random,1000,data_114.txt,QuickSort,114,11324,6684
random,1000,data_114.txt,MergeSort,407,8662,8662
